iter	Passed	Remaining
0	158	78924
1	180	44919
2	202	33560
3	224	27886
4	246	24424
5	267	22000
6	287	20265
7	307	18938
8	329	17968
9	348	17072
10	367	16335
11	385	15659
12	402	15083
13	419	14570
14	436	14112
15	452	13694
16	469	13329
17	485	12998
18	501	12693
19	517	12417
20	533	12162
21	550	11956
22	566	11747
23	583	11582
24	599	11390
25	617	11254
26	633	11094
27	649	10947
28	663	10779
29	679	10638
30	694	10502
31	707	10352
32	720	10200
33	734	10060
34	748	9939
35	761	9815
36	778	9737
37	793	9646
38	807	9540
39	821	9446
40	834	9342
41	847	9246
42	862	9165
43	875	9068
44	888	8980
45	903	8919
46	917	8842
47	932	8778
48	945	8703
49	958	8626
50	972	8558
51	985	8492
52	1000	8440
53	1013	8370
54	1028	8322
55	1045	8287
56	1060	8244
57	1076	8203
58	1096	8193
59	1113	8162
60	1134	8165
61	1155	8159
62	1175	8153
63	1196	8148
64	1215	8136
65	1240	8157
66	1264	8173
67	1284	8160
68	1306	8159
69	1325	8140
70	1344	8125
71	1363	8106
72	1381	8081
73	1403	8079
74	1426	8085
75	1446	8068
76	1467	8063
77	1482	8021
78	1499	7989
79	1517	7967
80	1534	7936
81	1550	7904
82	1569	7887
83	1584	7849
84	1599	7807
85	1614	7771
86	1628	7731
87	1644	7698
88	1660	7668
89	1678	7644
90	1693	7611
91	1708	7578
92	1723	7541
93	1741	7523
94	1768	7539
95	1789	7529
96	1809	7515
97	1822	7477
98	1835	7435
99	1849	7398
100	1863	7363
101	1880	7336
102	1895	7305
103	1910	7274
104	1924	7238
105	1941	7215
106	1956	7185
107	1972	7158
108	1988	7133
109	2002	7099
110	2015	7063
111	2031	7037
112	2045	7006
113	2058	6970
114	2073	6942
115	2086	6906
116	2101	6878
117	2115	6847
118	2128	6814
119	2143	6786
120	2156	6753
121	2171	6727
122	2186	6701
123	2201	6676
124	2214	6643
125	2227	6612
126	2241	6582
127	2254	6552
128	2268	6525
129	2281	6494
130	2295	6465
131	2310	6441
132	2323	6412
133	2338	6385
134	2352	6360
135	2367	6336
136	2384	6319
137	2400	6296
138	2416	6275
139	2431	6251
140	2447	6230
141	2463	6211
142	2479	6190
143	2494	6166
144	2511	6150
145	2528	6130
146	2544	6110
147	2560	6090
148	2578	6073
149	2596	6057
150	2612	6038
151	2627	6015
152	2643	5996
153	2661	5979
154	2678	5962
155	2698	5950
156	2718	5938
157	2734	5919
158	2749	5897
159	2763	5872
160	2779	5852
161	2794	5831
162	2809	5808
163	2823	5783
164	2837	5761
165	2850	5735
166	2863	5710
167	2877	5685
168	2890	5660
169	2905	5639
170	2918	5614
171	2932	5592
172	2946	5569
173	2960	5545
174	2973	5522
175	2987	5500
176	2999	5474
177	3013	5451
178	3027	5429
179	3040	5404
180	3055	5384
181	3068	5362
182	3083	5341
183	3096	5318
184	3110	5295
185	3123	5272
186	3138	5252
187	3152	5231
188	3168	5214
189	3184	5194
190	3198	5173
191	3211	5152
192	3225	5131
193	3241	5112
194	3255	5091
195	3269	5070
196	3282	5048
197	3295	5027
198	3309	5006
199	3322	4984
200	3335	4961
201	3348	4939
202	3362	4918
203	3374	4897
204	3388	4876
205	3400	4852
206	3413	4831
207	3425	4808
208	3437	4786
209	3450	4764
210	3461	4741
211	3475	4720
212	3488	4699
213	3500	4678
214	3512	4655
215	3525	4634
216	3537	4613
217	3549	4591
218	3564	4573
219	3578	4554
220	3591	4533
221	3607	4517
222	3624	4502
223	3643	4489
224	3659	4472
225	3676	4457
226	3696	4445
227	3713	4430
228	3733	4417
229	3749	4401
230	3769	4389
231	3784	4371
232	3800	4355
233	3816	4338
234	3832	4321
235	3850	4306
236	3866	4290
237	3881	4272
238	3896	4255
239	3910	4236
240	3929	4222
241	3946	4207
242	3962	4191
243	3981	4177
244	3996	4159
245	4012	4143
246	4029	4127
247	4046	4111
248	4060	4093
249	4077	4077
250	4094	4061
251	4108	4043
252	4123	4025
253	4141	4010
254	4159	3996
255	4173	3978
256	4188	3960
257	4201	3940
258	4218	3924
259	4235	3909
260	4249	3891
261	4265	3875
262	4282	3859
263	4299	3843
264	4311	3823
265	4325	3805
266	4339	3787
267	4354	3769
268	4367	3750
269	4382	3733
270	4396	3714
271	4411	3697
272	4424	3679
273	4440	3662
274	4454	3644
275	4467	3625
276	4481	3608
277	4494	3589
278	4508	3570
279	4521	3552
280	4534	3533
281	4547	3515
282	4561	3498
283	4576	3480
284	4589	3462
285	4604	3445
